match_id,sport,format,team_a_rating,team_b_rating,nb_sets,score_w,score_l,upset,match_quality_score,source
SM137,pickleball,singles,1430.6,1290.0,2,22,13,0,0.7367,synthetic
SM138,pickleball,singles,1441.3,1679.4,3,28,24,1,0.8605,synthetic
SM139,pickleball,singles,1422.8,1482.4,2,21,15,0,0.8269,synthetic
SM140,pickleball,singles,1842.6,1007.5,2,21,12,0,0.4242,synthetic
SM141,pickleball,singles,1391.4,1144.8,2,19,16,0,0.7346,synthetic
SM142,pickleball,singles,1773.7,1371.0,2,21,19,0,0.6449,synthetic
SM143,pickleball,singles,1671.8,1294.1,2,20,13,0,0.5967,synthetic
SM144,pickleball,singles,1648.9,1732.0,3,29,25,1,0.965,synthetic
SM145,pickleball,singles,1186.2,1601.5,2,22,17,0,0.6052,synthetic
SM146,pickleball,singles,1387.3,1626.6,2,21,16,0,0.7197,synthetic
SM147,pickleball,singles,1174.5,1598.3,2,19,10,0,0.5267,synthetic
SM148,pickleball,singles,1119.7,1606.4,2,20,15,0,0.5517,synthetic
SM149,pickleball,singles,1354.9,2192.1,2,21,14,0,0.4533,synthetic
SM150,pickleball,singles,987.3,1912.6,3,29,26,1,0.6282,synthetic
SM151,pickleball,singles,1394.2,1371.0,3,25,26,1,1.0,synthetic
SM152,pickleball,singles,912.8,1316.4,2,21,15,0,0.5976,synthetic
SM153,pickleball,singles,1266.9,1299.4,3,22,26,0,0.945,synthetic
SM154,pickleball,singles,1421.5,889.8,2,20,14,0,0.5083,synthetic
SM155,pickleball,singles,1368.6,992.1,3,35,21,0,0.649,synthetic
SM156,pickleball,singles,1100.8,1860.4,2,20,15,0,0.4762,synthetic
SM157,pickleball,singles,2087.6,969.9,2,22,13,0,0.4305,synthetic
SM158,pickleball,singles,1461.8,1403.8,3,26,22,1,0.978,synthetic
SM159,pickleball,singles,1810.7,1699.3,3,28,23,0,0.8865,synthetic
SM160,pickleball,singles,1405.2,969.1,2,19,9,0,0.4997,synthetic
SM161,pickleball,singles,998.0,1747.2,2,19,15,0,0.4863,synthetic
SM162,pickleball,singles,1054.3,1599.7,2,22,16,0,0.5066,synthetic
SM163,pickleball,singles,1308.8,1510.7,2,22,14,0,0.7098,synthetic
SM164,pickleball,singles,1483.4,1302.6,3,30,24,1,0.885,synthetic
SM165,pickleball,singles,1319.2,800.0,2,21,16,0,0.5331,synthetic
SM166,pickleball,singles,1232.3,1146.5,2,18,14,1,0.8761,synthetic
SM167,pickleball,singles,1328.9,1202.9,2,22,17,0,0.7981,synthetic
SM168,pickleball,singles,1518.5,1074.5,2,20,14,0,0.5667,synthetic
SM169,pickleball,singles,1227.2,1685.8,2,22,18,0,0.5876,synthetic
SM170,pickleball,singles,1706.2,1351.3,3,30,27,0,0.7423,synthetic
SM171,pickleball,singles,979.7,2127.8,3,25,25,0,0.6,synthetic
SM172,pickleball,singles,1461.4,1227.2,2,23,17,0,0.7172,synthetic
SM173,pickleball,singles,1002.7,994.5,2,23,14,0,0.8306,synthetic
SM174,pickleball,singles,1762.3,1448.7,2,21,19,0,0.7043,synthetic
SM175,pickleball,singles,993.8,1076.7,2,21,18,0,0.8473,synthetic
SM176,pickleball,singles,859.2,1059.7,2,21,9,0,0.6397,synthetic
SM177,pickleball,singles,1339.3,1193.3,2,21,17,0,0.7939,synthetic
SM178,pickleball,singles,1158.6,1456.8,3,30,31,1,0.8446,synthetic
SM179,pickleball,singles,1803.9,1445.3,2,22,15,0,0.6186,synthetic
SM180,pickleball,singles,1232.3,1743.0,2,22,16,0,0.5297,synthetic
SM181,pickleball,singles,1347.2,1283.0,3,30,24,1,0.9628,synthetic
SM182,pickleball,singles,1169.9,1438.0,3,28,22,0,0.7733,synthetic
SM183,pickleball,singles,1345.7,1693.8,2,22,10,0,0.5513,synthetic
SM184,pickleball,singles,1825.6,1119.6,2,21,15,0,0.4667,synthetic
SM185,pickleball,singles,1324.6,2161.6,2,21,19,0,0.5133,synthetic
SM186,pickleball,singles,1190.5,1727.5,3,29,24,0,0.6043,synthetic
SM187,pickleball,singles,962.2,1104.4,2,21,8,0,0.6592,synthetic
SM188,pickleball,singles,1436.9,1859.1,2,20,12,0,0.5519,synthetic
SM189,pickleball,singles,1553.3,1766.7,3,30,26,0,0.8292,synthetic
SM190,pickleball,singles,1376.2,1101.3,2,22,18,0,0.7101,synthetic
SM191,pickleball,singles,1468.7,1021.4,2,23,17,0,0.5751,synthetic
SM192,pickleball,singles,1183.2,991.6,2,23,14,0,0.7083,synthetic
SM193,pickleball,singles,1303.0,1352.5,3,31,31,1,1.0,synthetic
SM194,pickleball,singles,1263.3,1146.2,2,20,11,1,0.7891,synthetic
SM195,pickleball,singles,1518.1,1535.3,2,22,16,0,0.8587,synthetic
SM196,pickleball,singles,993.2,1441.3,2,22,17,0,0.5833,synthetic
SM197,pickleball,singles,1681.6,1173.0,2,20,11,0,0.4781,synthetic
SM198,pickleball,singles,1658.6,1237.4,3,27,21,0,0.6692,synthetic
SM199,pickleball,singles,1767.1,1043.5,2,22,11,0,0.4,synthetic
SM200,pickleball,singles,1483.3,1643.5,3,32,27,1,0.9093,synthetic
SM201,pickleball,singles,1208.7,910.4,2,22,17,0,0.6832,synthetic
SM202,pickleball,singles,1157.5,1595.5,2,20,14,0,0.5707,synthetic
SM203,pickleball,singles,1761.6,1297.7,2,21,18,0,0.5933,synthetic
SM204,pickleball,singles,1120.7,1434.5,2,21,6,0,0.5019,synthetic
SM205,pickleball,singles,1044.2,1448.7,2,21,12,0,0.5546,synthetic
SM206,pickleball,singles,1178.8,888.1,2,21,15,0,0.6729,synthetic
SM207,pickleball,singles,1348.4,1064.2,2,20,10,0,0.6105,synthetic
SM208,pickleball,singles,2100.3,1127.6,2,22,9,0,0.3656,synthetic
SM209,pickleball,singles,1257.9,1336.9,2,20,18,1,0.9096,synthetic
SM210,pickleball,singles,1105.3,1452.9,2,20,8,0,0.5302,synthetic
SM211,pickleball,singles,1059.1,1208.6,3,32,24,0,0.8432,synthetic
SM212,pickleball,singles,1310.8,1103.4,2,21,11,0,0.6701,synthetic
SM213,pickleball,singles,1448.4,976.2,2,22,16,0,0.5554,synthetic
SM214,pickleball,singles,1386.2,1357.1,3,28,23,0,0.9414,synthetic
SM215,pickleball,singles,1511.3,1074.4,2,22,9,0,0.4743,synthetic
SM216,pickleball,singles,1003.5,1554.8,2,22,12,0,0.4482,synthetic
SM217,pickleball,singles,2128.7,1026.9,3,30,28,0,0.5862,synthetic
SM218,pickleball,singles,1944.0,2087.6,2,21,13,0,0.7435,synthetic
SM219,pickleball,singles,1513.6,1443.1,3,26,27,0,0.9455,synthetic
SM220,pickleball,singles,1648.1,1379.0,2,19,13,0,0.6789,synthetic
SM221,pickleball,singles,1825.6,1439.3,3,29,21,0,0.6785,synthetic
SM222,pickleball,singles,1186.9,1399.3,3,29,29,1,0.9084,synthetic
SM223,pickleball,singles,1658.2,1279.9,3,32,27,0,0.7139,synthetic
SM224,pickleball,singles,1545.1,1750.4,3,31,21,0,0.7862,synthetic
SM225,pickleball,singles,1533.1,1112.1,2,21,15,0,0.586,synthetic
SM226,pickleball,singles,1109.7,1128.3,3,30,30,0,0.9876,synthetic
SM227,pickleball,singles,1769.1,1411.2,2,21,10,0,0.5528,synthetic
SM228,pickleball,singles,1540.0,1557.6,3,30,25,1,1.0,synthetic
SM229,pickleball,singles,1168.9,1040.7,2,19,15,0,0.8008,synthetic
SM230,pickleball,singles,1117.2,1120.7,2,20,14,0,0.8604,synthetic
SM231,pickleball,singles,1133.7,1438.1,2,20,12,0,0.6304,synthetic
SM232,pickleball,singles,1745.8,1396.5,3,28,23,0,0.7279,synthetic
SM233,pickleball,singles,1149.1,1453.0,2,20,13,0,0.6459,synthetic
SM234,pickleball,singles,1036.2,903.7,2,20,11,0,0.7289,synthetic
SM235,pickleball,singles,1498.4,1107.4,2,21,16,0,0.6186,synthetic
SM236,pickleball,singles,1117.4,1640.6,3,31,25,1,0.6583,synthetic
SM237,pickleball,singles,1540.0,1619.7,2,23,12,1,0.8045,synthetic
SM238,pickleball,singles,1784.5,1513.1,2,21,14,1,0.7224,synthetic
SM239,pickleball,singles,1506.6,1089.3,2,21,12,0,0.546,synthetic
SM240,pickleball,singles,1228.7,2123.0,2,21,7,0,0.3333,synthetic
SM241,pickleball,singles,1239.6,1352.2,2,21,17,1,0.8662,synthetic
SM242,pickleball,singles,1025.0,1755.7,2,20,18,0,0.5123,synthetic
SM243,pickleball,singles,936.5,1145.8,2,21,16,1,0.7897,synthetic
SM244,pickleball,singles,1649.5,1419.2,2,22,13,0,0.6769,synthetic
SM245,pickleball,singles,1420.1,1183.9,2,21,14,0,0.6959,synthetic
SM246,pickleball,singles,2187.4,962.5,2,22,18,0,0.4933,synthetic
SM247,pickleball,singles,1229.8,1078.6,3,25,26,1,0.9414,synthetic
SM248,pickleball,singles,1875.9,1599.4,2,21,10,0,0.6071,synthetic
SM249,pickleball,singles,1306.4,996.6,2,22,7,0,0.5199,synthetic
SM250,pickleball,singles,1313.8,1733.3,2,21,14,0,0.5737,synthetic
SM251,pickleball,singles,1190.5,1146.9,2,19,17,1,0.932,synthetic
SM252,pickleball,singles,1174.2,948.5,2,22,14,0,0.694,synthetic
SM253,pickleball,singles,1346.3,1103.3,3,24,28,1,0.8572,synthetic
SM254,pickleball,singles,1097.7,1401.6,2,22,14,0,0.6418,synthetic
SM255,pickleball,singles,1197.8,1204.4,3,29,28,1,1.0,synthetic
SM256,pickleball,singles,1040.7,1352.4,2,22,20,0,0.7065,synthetic
SM257,pickleball,singles,1459.4,1831.0,2,21,19,0,0.6656,synthetic
SM258,pickleball,singles,1232.7,1712.9,2,20,7,0,0.4206,synthetic
SM259,pickleball,singles,856.9,969.9,2,20,16,1,0.8636,synthetic
SM260,pickleball,singles,1345.7,1382.6,2,22,20,0,0.8897,synthetic
SM261,pickleball,singles,1528.8,1468.0,3,28,22,1,0.9615,synthetic
SM262,pickleball,singles,888.0,1428.0,2,22,16,0,0.5102,synthetic
SM263,pickleball,singles,939.7,1725.8,2,22,18,0,0.4933,synthetic
SM264,pickleball,singles,1514.4,1730.5,3,27,26,1,0.8984,synthetic
SM265,pickleball,singles,1792.9,899.8,2,22,15,0,0.4577,synthetic
SM266,pickleball,singles,1153.1,1653.7,2,22,18,0,0.5596,synthetic
SM267,pickleball,singles,1169.9,1349.3,2,20,8,0,0.6423,synthetic
SM268,pickleball,singles,1092.0,915.6,2,22,16,0,0.7526,synthetic
SM269,pickleball,singles,1129.8,1298.5,2,20,17,0,0.7884,synthetic
SM270,pickleball,singles,1427.1,953.6,3,27,22,0,0.6435,synthetic
SM271,pickleball,singles,1233.9,965.0,2,21,17,0,0.712,synthetic
SM272,pickleball,singles,1433.7,1541.7,2,20,18,0,0.8403,synthetic
SM273,pickleball,singles,1059.8,1756.9,2,21,16,0,0.4793,synthetic
SM274,pickleball,singles,1568.5,871.3,2,20,8,0,0.3619,synthetic
SM275,pickleball,singles,877.1,1194.1,3,30,26,0,0.7601,synthetic
SM276,pickleball,singles,1477.6,1301.4,2,20,17,0,0.7834,synthetic
SM277,pickleball,singles,1461.3,1434.5,2,22,15,0,0.8398,synthetic
SM278,pickleball,singles,1469.4,1059.1,2,18,12,0,0.5798,synthetic
SM279,pickleball,singles,919.5,1367.7,2,21,14,0,0.5545,synthetic
SM280,pickleball,singles,1491.7,1497.5,3,32,27,0,0.9622,synthetic
SM281,pickleball,singles,1708.4,1595.6,3,29,31,0,0.9115,synthetic
SM282,pickleball,singles,1158.3,1543.7,2,21,17,0,0.6343,synthetic
SM283,pickleball,singles,1668.7,1355.0,2,20,13,0,0.6394,synthetic
SM284,pickleball,singles,1479.3,1363.9,2,19,16,0,0.8221,synthetic
SM285,pickleball,singles,2018.9,1742.8,2,21,13,0,0.6551,synthetic
SM286,pickleball,singles,989.7,1215.8,2,21,13,0,0.6885,synthetic
SM287,pickleball,singles,1031.2,1597.5,2,21,13,0,0.4617,synthetic
SM288,pickleball,singles,1739.0,1152.1,2,20,14,0,0.4715,synthetic
SM289,pickleball,singles,2189.3,1441.2,2,21,16,0,0.4793,synthetic
SM290,pickleball,singles,2000.3,1748.9,2,22,14,0,0.6768,synthetic
SM291,pickleball,singles,1399.3,1508.8,2,22,17,0,0.8091,synthetic
SM292,pickleball,singles,1250.8,1708.3,2,19,14,0,0.5677,synthetic
SM293,pickleball,singles,945.5,1974.3,2,22,13,0,0.4305,synthetic
SM294,pickleball,singles,1407.3,1444.4,3,29,27,0,0.961,synthetic
SM295,pickleball,singles,1020.1,1648.1,2,20,16,0,0.4889,synthetic
SM296,pickleball,singles,1410.8,1254.5,3,26,22,0,0.8625,synthetic
SM297,pickleball,singles,1884.9,1090.7,3,26,29,0,0.5782,synthetic
SM298,pickleball,singles,852.5,1526.2,2,21,15,0,0.4667,synthetic
SM299,pickleball,singles,1099.0,1581.1,2,23,14,0,0.5146,synthetic
SM300,pickleball,singles,1226.6,1370.5,3,32,20,0,0.8118,synthetic
SM301,pickleball,singles,1090.1,1710.4,2,20,15,0,0.4762,synthetic
SM302,pickleball,singles,1174.1,984.4,2,21,12,0,0.6978,synthetic
SM303,pickleball,singles,1185.8,1470.1,2,20,10,0,0.6105,synthetic
SM304,pickleball,singles,1320.7,1440.7,2,21,15,0,0.7867,synthetic
SM305,pickleball,singles,1572.4,1250.2,2,21,15,0,0.6519,synthetic
SM306,pickleball,singles,930.7,1032.2,2,20,15,0,0.8085,synthetic
SM307,pickleball,singles,1886.8,1556.1,3,31,26,0,0.7444,synthetic
SM308,pickleball,singles,1270.6,1022.1,3,27,23,0,0.8023,synthetic
SM309,pickleball,singles,1031.4,1400.9,2,21,14,0,0.607,synthetic
SM310,pickleball,singles,1625.5,1745.7,3,32,26,0,0.8785,synthetic
SM311,pickleball,singles,1747.0,1681.8,2,22,19,1,0.9106,synthetic
SM312,pickleball,singles,906.7,1402.3,2,19,9,0,0.4601,synthetic
SM313,pickleball,singles,1974.9,1411.6,2,20,10,0,0.4245,synthetic
SM314,pickleball,singles,1204.4,1739.5,2,21,9,0,0.4166,synthetic
SM315,pickleball,singles,1967.9,1708.4,2,21,5,0,0.5142,synthetic
SM316,pickleball,singles,1614.6,1513.3,2,18,12,0,0.7858,synthetic
SM317,pickleball,singles,1052.0,1326.0,2,19,12,0,0.6603,synthetic
SM318,pickleball,singles,1679.5,940.2,2,20,16,0,0.4889,synthetic
SM319,pickleball,singles,1448.4,1609.6,2,19,13,1,0.8009,synthetic
SM320,pickleball,singles,1013.6,1884.9,2,21,10,0,0.3914,synthetic
SM321,pickleball,singles,1281.2,1282.0,3,30,24,0,0.955,synthetic
SM322,pickleball,singles,1595.3,1381.5,2,21,7,0,0.5908,synthetic
SM323,pickleball,singles,1936.0,1001.2,2,22,14,0,0.4444,synthetic
SM324,pickleball,singles,1344.3,1990.6,2,18,14,0,0.4833,synthetic
SM325,pickleball,singles,1739.0,1282.0,3,26,27,0,0.6878,synthetic
SM326,pickleball,singles,1189.8,1528.9,2,22,15,0,0.6316,synthetic
SM327,pickleball,singles,2098.4,859.2,2,22,18,0,0.4933,synthetic
SM328,pickleball,singles,1625.1,953.5,2,22,20,0,0.5143,synthetic
SM329,pickleball,singles,1573.0,1008.8,3,28,29,0,0.6168,synthetic
SM330,pickleball,singles,1191.5,1598.3,2,21,10,0,0.5202,synthetic
SM331,pickleball,singles,979.8,1489.9,2,22,15,0,0.5176,synthetic
SM332,pickleball,singles,1290.8,861.8,2,22,15,0,0.5717,synthetic
SM333,pickleball,singles,1113.5,1105.0,2,21,15,1,0.911,synthetic
SM334,pickleball,singles,1296.7,1637.1,3,26,23,0,0.7486,synthetic
SM335,pickleball,singles,1020.9,1368.6,2,21,12,0,0.5924,synthetic
SM336,pickleball,singles,1149.3,1667.2,2,21,13,0,0.4939,synthetic
SM337,pickleball,singles,1228.7,1941.4,2,22,17,0,0.4821,synthetic
SM338,pickleball,singles,1799.0,1739.6,3,32,24,1,0.9533,synthetic
SM339,pickleball,singles,1475.5,1158.2,2,22,15,0,0.6461,synthetic
SM340,pickleball,singles,844.0,1580.0,2,21,15,0,0.4667,synthetic
SM341,pickleball,singles,2136.0,972.8,3,24,21,0,0.5733,synthetic
SM342,pickleball,singles,1005.8,1674.5,3,26,24,0,0.584,synthetic
SM343,pickleball,singles,1635.8,1009.0,2,22,16,0,0.4702,synthetic
SM344,pickleball,singles,1058.7,1042.8,2,20,18,1,0.9517,synthetic
SM345,pickleball,singles,1215.8,1330.0,2,20,10,0,0.7239,synthetic
SM346,pickleball,singles,841.7,1727.5,2,21,7,0,0.3333,synthetic
SM347,pickleball,singles,1259.9,854.4,3,29,27,0,0.7154,synthetic
SM348,pickleball,singles,1236.7,1105.1,2,20,14,0,0.775,synthetic
SM349,pickleball,singles,1748.9,1448.1,2,21,16,0,0.6787,synthetic
SM350,pickleball,singles,987.9,1697.7,2,23,12,0,0.4076,synthetic
