match_id,sport,format,rating_diff,avg_rating_deviation,winrate_diff,activeness_diff,streak_diff,geo_score,h2h_matches,same_skill_category,wait_time_seconds,match_quality_score
SM82,pickleball,singles,324.8,155.0,0.1385,0.1959,0,0.2,1,1,121,0.6536
SM83,pickleball,singles,62.7,201.0,0.0212,0.552,7,0.2,2,1,29,0.8971
SM84,pickleball,singles,192.1,188.1,0.3216,0.2042,5,1.0,0,0,109,0.8649
SM85,pickleball,singles,249.0,276.8,0.115,0.1979,7,1.0,3,0,64,0.638
SM86,pickleball,singles,94.6,262.5,0.0654,0.0427,1,1.0,5,1,61,0.8395
SM87,pickleball,singles,563.5,205.8,0.236,0.0725,3,1.0,0,0,178,0.5377
SM88,pickleball,singles,380.7,244.3,0.1291,0.362,3,1.0,0,0,191,0.5795
SM89,pickleball,singles,345.2,233.0,0.1985,0.3142,4,0.8,2,0,134,0.6832
SM90,pickleball,singles,326.3,167.0,0.1168,0.4333,0,1.0,1,0,16,0.5982
SM91,pickleball,singles,410.0,252.2,0.2776,0.1723,3,0.2,1,0,473,0.6179
SM92,pickleball,singles,8.5,226.4,0.0577,0.297,3,0.5,3,0,133,0.9592
SM93,pickleball,singles,306.3,309.2,0.1735,0.1212,1,1.0,0,0,141,0.6585
SM94,pickleball,singles,11.7,235.8,0.0703,0.2673,2,1.0,3,0,108,0.8079
SM95,pickleball,singles,27.6,226.4,0.0142,0.0828,3,1.0,0,0,15,0.8176
SM96,pickleball,singles,688.6,171.0,0.4381,0.2976,3,0.2,3,0,22,0.5774
SM97,pickleball,singles,189.1,157.8,0.0526,0.0805,4,1.0,0,0,359,0.6661
SM98,pickleball,singles,62.7,152.8,0.0118,0.0638,1,1.0,0,1,4,0.7665
SM99,pickleball,singles,367.8,210.6,0.1045,0.3955,5,0.5,5,0,274,0.5978
SM100,pickleball,singles,69.3,183.1,0.2455,0.3509,1,1.0,0,1,366,0.7742
SM101,pickleball,singles,167.7,273.7,0.1463,0.0423,5,0.2,1,0,132,0.7703
SM102,pickleball,singles,179.1,267.4,0.0305,0.057,1,0.8,5,1,76,0.7917
SM103,pickleball,singles,233.3,206.7,0.1967,0.0025,2,1.0,3,0,171,0.8241
SM104,pickleball,singles,581.8,103.6,0.2693,0.3155,4,0.8,2,0,56,0.4655
SM105,pickleball,singles,115.4,210.2,0.1404,0.0605,2,0.5,1,1,64,0.9231
SM106,pickleball,singles,947.7,152.9,0.6721,0.4593,2,1.0,0,0,76,0.3914
SM107,pickleball,singles,440.9,196.1,0.109,0.3063,2,0.2,0,1,36,0.595
SM108,pickleball,singles,143.5,175.6,0.0493,0.458,0,1.0,3,1,16,0.8034
SM109,pickleball,singles,171.1,231.7,0.0772,0.078,2,0.8,1,0,33,0.7982
SM110,pickleball,singles,189.2,194.2,0.2644,0.3926,4,0.8,0,1,51,0.7183
SM111,pickleball,singles,139.4,251.4,0.1603,0.3782,7,0.8,0,1,136,0.8795
SM112,pickleball,singles,729.7,197.4,0.484,0.1036,1,1.0,1,0,131,0.4889
SM113,pickleball,singles,109.9,179.7,0.0517,0.0948,4,0.5,2,0,266,0.8901
SM114,pickleball,singles,450.0,216.4,0.3431,0.2495,4,0.8,0,0,99,0.5222
SM115,pickleball,singles,704.0,228.4,0.4576,0.0108,5,0.8,1,0,25,0.5265
SM116,pickleball,singles,180.1,245.6,0.0521,0.1208,5,0.8,0,0,67,0.8319
SM117,pickleball,singles,241.9,213.0,0.2301,0.296,4,0.5,5,0,36,0.8495
SM118,pickleball,singles,239.1,226.5,0.0693,0.3354,2,1.0,0,1,0,0.6222
SM119,pickleball,singles,649.4,248.3,0.534,0.2985,3,0.2,2,0,177,0.4821
SM120,pickleball,singles,379.9,238.8,0.2011,0.2357,0,0.8,0,0,15,0.6476
SM121,pickleball,singles,263.2,140.2,0.1576,0.2847,8,1.0,0,0,45,0.6947
SM122,pickleball,singles,401.7,178.5,0.1056,0.0203,2,0.8,3,0,143,0.6376
SM123,pickleball,singles,45.7,263.5,0.0726,0.1195,3,1.0,2,1,80,0.8829
SM124,pickleball,singles,250.9,166.6,0.2037,0.3359,1,1.0,0,1,306,0.6994
SM125,pickleball,singles,8.6,203.0,0.1364,0.158,9,0.5,0,1,5,1.0
SM126,pickleball,singles,1.5,208.5,0.004,0.4475,4,0.5,2,1,105,0.9379
SM127,pickleball,singles,402.3,185.0,0.2848,0.3166,1,1.0,3,0,40,0.6051
SM128,pickleball,singles,1096.8,181.2,0.7313,0.2032,4,0.8,0,0,58,0.5054
SM129,pickleball,singles,18.0,289.0,0.0423,0.1487,0,0.8,0,1,6,0.8743
SM130,pickleball,singles,268.8,115.1,0.1121,0.1566,0,1.0,0,0,122,0.8208
SM131,pickleball,singles,458.0,273.2,0.2327,0.4542,3,0.8,0,0,86,0.5956
SM132,pickleball,singles,288.4,105.8,0.2726,0.257,6,0.5,0,0,117,0.8007
SM133,pickleball,singles,630.1,172.6,0.3158,0.2544,1,0.5,0,0,165,0.4076
SM134,pickleball,singles,103.2,170.0,0.0627,0.2633,1,0.8,0,0,85,0.8175
SM135,pickleball,singles,27.1,251.9,0.0132,0.2366,4,0.2,1,1,10,0.9744
SM136,pickleball,singles,137.5,127.8,0.0697,0.1291,14,0.2,0,1,8,0.7568
SM137,pickleball,singles,140.6,235.8,0.0336,0.4297,9,0.8,3,1,2,0.7367
SM138,pickleball,singles,238.1,198.9,0.1475,0.294,8,0.5,0,0,38,0.8605
SM139,pickleball,singles,59.6,174.2,0.1007,0.2171,4,0.8,0,0,131,0.8269
SM140,pickleball,singles,835.1,273.9,0.5993,0.2323,3,1.0,0,0,28,0.4242
SM141,pickleball,singles,246.6,193.4,0.2593,0.1037,1,1.0,1,1,135,0.7346
SM142,pickleball,singles,402.7,157.3,0.1883,0.2565,3,1.0,0,0,442,0.6449
SM143,pickleball,singles,377.7,156.0,0.1866,0.3368,6,0.8,2,0,17,0.5967
SM144,pickleball,singles,83.1,187.3,0.25,0.3306,0,1.0,0,1,221,0.965
SM145,pickleball,singles,415.3,253.4,0.0981,0.4004,2,1.0,1,0,56,0.6052
SM146,pickleball,singles,239.3,211.8,0.1251,0.0881,1,0.5,2,1,15,0.7197
SM147,pickleball,singles,423.8,298.5,0.069,0.4083,0,1.0,0,0,22,0.5267
SM148,pickleball,singles,486.7,245.5,0.382,0.2621,2,0.8,2,0,463,0.5517
SM149,pickleball,singles,837.2,153.2,0.4137,0.2567,2,0.2,5,0,16,0.4533
SM150,pickleball,singles,925.3,170.5,0.5014,0.0803,2,0.2,2,0,292,0.6282
SM151,pickleball,singles,23.2,186.4,0.1458,0.1501,1,1.0,0,1,9,1.0
SM152,pickleball,singles,403.6,279.6,0.3768,0.796,0,0.8,5,0,90,0.5976
SM153,pickleball,singles,32.5,204.6,0.0034,0.3923,2,1.0,0,1,40,0.945
SM154,pickleball,singles,531.7,221.0,0.3028,0.5787,5,1.0,0,0,51,0.5083
SM155,pickleball,singles,376.5,283.2,0.2789,0.1279,5,0.2,1,0,29,0.649
SM156,pickleball,singles,759.6,197.2,0.3964,0.4666,2,0.5,3,0,176,0.4762
SM157,pickleball,singles,1117.7,189.2,0.7696,0.0396,3,1.0,0,0,48,0.4305
SM158,pickleball,singles,58.0,194.8,0.0328,0.2644,2,0.5,2,1,44,0.978
SM159,pickleball,singles,111.4,146.8,0.0592,0.2371,6,0.5,1,1,5,0.8865
SM160,pickleball,singles,436.1,278.0,0.0176,0.0769,1,1.0,0,0,1,0.4997
SM161,pickleball,singles,749.2,185.2,0.4149,0.2566,3,0.5,2,0,7,0.4863
SM162,pickleball,singles,545.4,203.4,0.3778,0.2119,2,1.0,0,0,210,0.5066
SM163,pickleball,singles,201.9,196.2,0.1653,0.2698,2,1.0,1,1,344,0.7098
SM164,pickleball,singles,180.8,175.8,0.171,0.02,2,1.0,0,0,204,0.885
SM165,pickleball,singles,519.2,260.8,0.2411,0.1735,2,1.0,2,0,142,0.5331
SM166,pickleball,singles,85.8,256.2,0.0454,0.0534,2,0.8,0,1,12,0.8761
SM167,pickleball,singles,126.0,197.7,0.0012,0.0892,1,1.0,0,1,5,0.7981
SM168,pickleball,singles,444.0,259.3,0.0766,0.0827,2,0.8,3,0,122,0.5667
SM169,pickleball,singles,458.6,174.9,0.1793,0.3363,6,0.8,2,0,59,0.5876
SM170,pickleball,singles,354.9,193.4,0.2521,0.2167,1,0.8,3,0,115,0.7423
SM171,pickleball,singles,1148.1,192.5,0.6043,0.2288,0,0.5,1,0,112,0.6
SM172,pickleball,singles,234.2,199.3,0.2098,0.2018,0,0.8,0,1,5,0.7172
SM173,pickleball,singles,8.2,268.3,0.1493,0.1598,4,0.5,5,0,96,0.8306
SM174,pickleball,singles,313.6,180.0,0.1604,0.4546,1,1.0,0,0,139,0.7043
SM175,pickleball,singles,82.9,226.7,0.0075,0.2871,1,0.8,2,0,171,0.8473
SM176,pickleball,singles,200.5,251.6,0.0,0.1699,1,0.5,5,1,223,0.6397
SM177,pickleball,singles,146.0,269.4,0.2597,0.5362,7,0.5,2,0,20,0.7939
SM178,pickleball,singles,298.2,210.8,0.2058,0.534,8,1.0,1,0,127,0.8446
SM179,pickleball,singles,358.6,205.2,0.2553,0.0763,5,1.0,2,1,2,0.6186
SM180,pickleball,singles,510.7,150.8,0.1409,0.1808,6,0.8,0,0,122,0.5297
SM181,pickleball,singles,64.2,176.6,0.0114,0.2564,8,1.0,5,1,225,0.9628
SM182,pickleball,singles,268.1,262.0,0.0417,0.4489,1,0.8,0,0,13,0.7733
SM183,pickleball,singles,348.1,177.4,0.1374,0.0881,2,1.0,1,0,66,0.5513
SM184,pickleball,singles,706.0,207.6,0.4967,0.389,1,1.0,0,0,72,0.4667
SM185,pickleball,singles,837.0,98.0,0.5431,0.2293,3,0.8,0,0,88,0.5133
SM186,pickleball,singles,537.0,241.6,0.2213,0.113,8,0.5,3,0,320,0.6043
SM187,pickleball,singles,142.2,263.4,0.2539,0.1921,4,0.2,0,1,18,0.6592
SM188,pickleball,singles,422.2,175.3,0.2004,0.0678,5,1.0,1,0,30,0.5519
SM189,pickleball,singles,213.4,212.4,0.1319,0.0123,0,0.2,0,1,49,0.8292
SM190,pickleball,singles,274.9,226.3,0.002,0.2221,1,0.2,3,0,139,0.7101
SM191,pickleball,singles,447.3,213.6,0.2512,0.268,0,0.8,0,0,28,0.5751
SM192,pickleball,singles,191.6,280.6,0.0652,0.5018,2,0.5,0,0,45,0.7083
SM193,pickleball,singles,49.5,183.2,0.1272,0.1485,5,1.0,0,1,16,1.0
SM194,pickleball,singles,117.1,157.7,0.0134,0.5148,4,0.8,0,1,251,0.7891
SM195,pickleball,singles,17.2,155.5,0.2353,0.3551,3,0.5,0,0,263,0.8587
SM196,pickleball,singles,448.1,238.2,0.1278,0.023,6,0.8,2,0,61,0.5833
SM197,pickleball,singles,508.6,121.2,0.5837,0.0383,0,0.8,0,0,223,0.4781
SM198,pickleball,singles,421.2,206.0,0.3433,0.1593,4,0.5,2,1,79,0.6692
SM199,pickleball,singles,723.6,214.5,0.4448,0.1163,1,0.5,0,0,136,0.4
SM200,pickleball,singles,160.2,164.8,0.0831,0.0525,3,0.2,2,1,32,0.9093
SM201,pickleball,singles,298.3,295.8,0.2118,0.0962,1,0.8,0,0,49,0.6832
SM202,pickleball,singles,438.0,243.2,0.2973,0.0394,6,0.5,5,0,102,0.5707
SM203,pickleball,singles,463.9,176.9,0.3531,0.0198,5,1.0,5,0,63,0.5933
SM204,pickleball,singles,313.8,228.0,0.2944,0.1302,1,1.0,0,0,147,0.5019
SM205,pickleball,singles,404.5,234.2,0.3925,0.0109,1,1.0,2,0,59,0.5546
SM206,pickleball,singles,290.7,278.8,0.2885,0.2267,4,0.8,0,0,78,0.6729
SM207,pickleball,singles,284.2,207.0,0.0791,0.0384,2,0.8,3,1,254,0.6105
SM208,pickleball,singles,972.7,225.0,0.602,0.0697,2,0.8,3,0,0,0.3656
SM209,pickleball,singles,79.0,160.6,0.1694,0.1854,2,0.8,0,0,93,0.9096
SM210,pickleball,singles,347.6,266.2,0.1665,0.0329,7,0.8,0,0,60,0.5302
SM211,pickleball,singles,149.5,268.2,0.2365,0.0251,1,1.0,1,0,421,0.8432
SM212,pickleball,singles,207.4,223.1,0.0401,0.0509,9,1.0,3,0,157,0.6701
SM213,pickleball,singles,472.2,219.8,0.1042,0.176,1,1.0,1,0,0,0.5554
SM214,pickleball,singles,29.1,184.4,0.0502,0.607,1,0.8,0,1,61,0.9414
SM215,pickleball,singles,436.9,234.4,0.2704,0.0211,2,0.8,0,0,10,0.4743
SM216,pickleball,singles,551.3,223.8,0.2698,0.3273,2,1.0,1,0,41,0.4482
SM217,pickleball,singles,1101.8,205.7,0.7436,0.3435,5,1.0,0,0,68,0.5862
SM218,pickleball,singles,143.6,142.9,0.1874,0.1264,0,1.0,2,1,259,0.7435
SM219,pickleball,singles,70.5,199.8,0.0259,0.4279,0,0.2,0,1,29,0.9455
SM220,pickleball,singles,269.1,165.7,0.163,0.0008,2,0.5,0,0,273,0.6789
SM221,pickleball,singles,386.3,202.8,0.3382,0.3317,1,1.0,3,0,208,0.6785
SM222,pickleball,singles,212.4,254.8,0.0222,0.068,9,0.8,0,0,374,0.9084
SM223,pickleball,singles,378.3,231.9,0.5199,0.0829,4,0.5,3,0,183,0.7139
SM224,pickleball,singles,205.3,196.6,0.3465,0.2468,1,1.0,2,0,43,0.7862
SM225,pickleball,singles,421.0,245.7,0.0952,0.6098,4,0.5,0,1,232,0.586
SM226,pickleball,singles,18.6,248.3,0.0436,0.273,1,1.0,1,0,472,0.9876
SM227,pickleball,singles,357.9,168.2,0.1543,0.2668,2,0.8,0,1,121,0.5528
SM228,pickleball,singles,17.6,170.1,0.0568,0.3543,3,0.5,2,0,32,1.0
SM229,pickleball,singles,128.2,257.6,0.0865,0.5349,5,0.8,5,1,21,0.8008
SM230,pickleball,singles,3.5,229.0,0.1153,0.1138,1,0.5,3,0,132,0.8604
SM231,pickleball,singles,304.4,153.6,0.3794,0.4108,2,0.5,0,1,9,0.6304
SM232,pickleball,singles,349.3,150.4,0.1648,0.2533,3,0.8,0,0,46,0.7279
SM233,pickleball,singles,303.9,262.5,0.0561,0.2465,5,0.8,0,0,64,0.6459
SM234,pickleball,singles,132.5,299.2,0.137,0.2745,1,0.5,0,0,22,0.7289
SM235,pickleball,singles,391.0,202.2,0.2362,0.3496,5,1.0,1,0,259,0.6186
SM236,pickleball,singles,523.2,162.1,0.3859,0.06,2,0.2,0,0,13,0.6583
SM237,pickleball,singles,79.7,218.6,0.0705,0.2883,4,0.5,0,0,104,0.8045
SM238,pickleball,singles,271.4,155.8,0.3968,0.173,2,1.0,2,0,172,0.7224
SM239,pickleball,singles,417.3,253.6,0.2341,0.3679,4,0.5,0,0,449,0.546
SM240,pickleball,singles,894.3,197.1,0.6083,0.2055,7,0.5,0,0,583,0.3333
SM241,pickleball,singles,112.6,192.0,0.1367,0.3189,1,0.8,1,0,44,0.8662
SM242,pickleball,singles,730.7,221.9,0.4065,0.3109,4,1.0,0,0,12,0.5123
SM243,pickleball,singles,209.3,273.4,0.041,0.0971,0,0.8,3,0,347,0.7897
SM244,pickleball,singles,230.3,150.0,0.1232,0.213,7,1.0,0,0,98,0.6769
SM245,pickleball,singles,236.2,172.0,0.0885,0.0995,0,0.8,0,1,18,0.6959
SM246,pickleball,singles,1224.9,155.2,0.7401,0.1123,2,1.0,0,0,291,0.4933
SM247,pickleball,singles,151.2,259.4,0.0061,0.2075,3,1.0,3,0,1,0.9414
SM248,pickleball,singles,276.5,198.8,0.0436,0.5699,1,0.8,0,0,29,0.6071
SM249,pickleball,singles,309.8,252.4,0.18,0.2017,4,0.5,0,0,175,0.5199
SM250,pickleball,singles,419.5,196.4,0.2858,0.0979,3,0.5,0,0,3,0.5737
SM251,pickleball,singles,43.6,206.0,0.0486,0.3838,1,0.8,0,0,66,0.932
SM252,pickleball,singles,225.7,270.8,0.1757,0.3893,0,0.5,0,1,67,0.694
SM253,pickleball,singles,243.0,209.9,0.2425,0.2761,7,0.8,1,1,50,0.8572
SM254,pickleball,singles,303.9,230.8,0.1946,0.4984,4,1.0,0,0,59,0.6418
SM255,pickleball,singles,6.6,229.2,0.0994,0.1639,4,0.8,2,1,76,1.0
SM256,pickleball,singles,311.7,236.7,0.3409,0.3025,1,0.5,0,0,260,0.7065
SM257,pickleball,singles,371.6,150.6,0.2104,0.0252,1,0.2,1,0,69,0.6656
SM258,pickleball,singles,480.2,168.0,0.3755,0.1633,5,0.5,3,0,21,0.4206
SM259,pickleball,singles,113.0,275.6,0.0874,0.0067,7,0.8,3,1,18,0.8636
SM260,pickleball,singles,36.9,184.1,0.0581,0.1982,2,1.0,0,1,94,0.8897
SM261,pickleball,singles,60.8,173.1,0.0968,0.0831,6,1.0,2,0,117,0.9615
SM262,pickleball,singles,540.0,231.2,0.2418,0.0242,1,0.8,2,0,313,0.5102
SM263,pickleball,singles,786.1,199.8,0.6112,0.651,2,0.8,0,0,207,0.4933
SM264,pickleball,singles,216.1,197.4,0.1836,0.4072,3,0.8,0,0,189,0.8984
SM265,pickleball,singles,893.1,217.4,0.452,0.2221,2,1.0,3,0,0,0.4577
SM266,pickleball,singles,500.6,223.5,0.3453,0.2019,9,1.0,3,0,317,0.5596
SM267,pickleball,singles,179.4,257.9,0.0452,0.8399,4,0.2,3,0,157,0.6423
SM268,pickleball,singles,176.4,235.8,0.0052,0.0355,4,0.8,0,0,115,0.7526
SM269,pickleball,singles,168.7,243.7,0.1545,0.6082,2,0.8,0,0,6,0.7884
SM270,pickleball,singles,473.5,241.0,0.0939,0.0896,2,0.8,0,0,158,0.6435
SM271,pickleball,singles,268.9,203.2,0.2273,0.396,4,0.8,5,1,79,0.712
SM272,pickleball,singles,108.0,205.5,0.0049,0.7448,3,0.5,0,0,60,0.8403
SM273,pickleball,singles,697.1,254.4,0.4442,0.0293,4,0.8,0,0,49,0.4793
SM274,pickleball,singles,697.2,217.2,0.5025,0.6198,1,0.8,2,0,37,0.3619
SM275,pickleball,singles,317.0,237.6,0.2233,0.2122,0,0.5,0,0,29,0.7601
SM276,pickleball,singles,176.2,189.2,0.053,0.3543,0,0.5,0,1,40,0.7834
SM277,pickleball,singles,26.8,181.9,0.0712,0.2424,4,0.5,2,1,15,0.8398
SM278,pickleball,singles,410.3,295.8,0.4468,0.0812,3,0.8,0,0,235,0.5798
SM279,pickleball,singles,448.2,226.8,0.2244,0.0123,0,1.0,0,0,74,0.5545
SM280,pickleball,singles,5.8,199.3,0.0409,0.2578,4,1.0,3,1,105,0.9622
SM281,pickleball,singles,112.8,229.6,0.2106,0.2109,2,0.5,0,1,21,0.9115
SM282,pickleball,singles,385.4,197.8,0.5396,0.5737,0,0.8,1,1,88,0.6343
SM283,pickleball,singles,313.7,174.4,0.0906,0.4198,5,1.0,0,0,160,0.6394
SM284,pickleball,singles,115.4,163.1,0.0225,0.4042,5,1.0,0,1,7,0.8221
SM285,pickleball,singles,276.1,165.8,0.3132,0.222,0,1.0,0,1,188,0.6551
SM286,pickleball,singles,226.1,220.4,0.2596,0.0769,5,1.0,1,0,134,0.6885
SM287,pickleball,singles,566.3,198.6,0.2406,0.1959,2,1.0,0,0,10,0.4617
SM288,pickleball,singles,586.9,216.2,0.5894,0.1464,1,0.2,0,0,137,0.4715
SM289,pickleball,singles,748.1,108.5,0.5958,0.5709,0,0.5,0,0,32,0.4793
SM290,pickleball,singles,251.4,165.6,0.0708,0.161,0,1.0,3,0,49,0.6768
SM291,pickleball,singles,109.5,214.7,0.2783,0.3715,4,1.0,5,1,43,0.8091
SM292,pickleball,singles,457.5,179.8,0.3423,0.0916,0,1.0,1,0,463,0.5677
SM293,pickleball,singles,1028.8,203.6,0.533,0.0249,3,0.5,1,0,6,0.4305
SM294,pickleball,singles,37.1,191.0,0.0801,0.5395,8,0.8,0,1,66,0.961
SM295,pickleball,singles,628.0,228.2,0.4372,0.2088,3,0.8,1,0,53,0.4889
SM296,pickleball,singles,156.3,209.2,0.0015,0.0775,2,1.0,2,1,374,0.8625
