player_id,skill_category,rating,rating_deviation,win_rate,activeness_score,matches_played,current_streak,days_since_last_match,gender
P91,beginner,1109.0,252.9,0.3372,0.6306,14,-1,11,M
P92,beginner,1169.5,261.9,0.05,0.0772,10,0,8,M
P93,expert,1981.5,99.9,0.6458,0.5049,14,-2,9,M
P94,beginner,1054.5,239.9,0.1366,0.5757,10,0,25,M
P95,advanced,1596.2,151.8,0.4459,0.449,14,0,43,M
P96,intermediate,1492.5,260.8,0.4487,0.3295,66,-3,50,F
P97,intermediate,1270.6,260.5,0.329,0.3744,6,3,38,F
P98,intermediate,1333.4,157.1,0.2162,0.2927,14,-4,31,F
P99,beginner,981.3,339.1,0.2237,0.2259,7,0,29,M
P100,advanced,1662.1,173.2,0.3109,0.8355,150,2,5,F
P101,beginner,900.5,278.1,0.101,0.6224,22,1,23,M
P102,beginner,883.0,267.1,0.218,0.3917,9,0,1,F
P103,advanced,1628.4,172.0,0.5113,0.7618,169,0,32,M
P104,intermediate,1417.9,273.1,0.375,0.7312,133,0,9,F
P105,beginner,971.9,314.8,0.1471,0.3609,41,-1,81,F
P106,intermediate,1360.1,222.4,0.2586,0.7999,302,3,23,F
P107,intermediate,1312.1,191.5,0.3972,0.7683,66,3,2,F
P108,beginner,1018.6,236.1,0.05,0.7565,15,-3,1,F
P109,intermediate,1259.9,175.9,0.4676,0.602,5,-3,10,F
P110,intermediate,1120.1,248.4,0.2452,0.3721,9,0,77,M
P111,advanced,1751.0,127.4,0.5719,0.1059,13,-5,64,F
P112,beginner,1097.6,240.7,0.168,0.6432,44,0,5,F
P113,intermediate,1209.4,207.8,0.365,0.4752,45,0,5,F
P114,intermediate,1410.2,156.5,0.3259,0.1695,14,0,31,F
P115,beginner,956.2,305.4,0.1307,0.369,22,-4,14,F
P116,intermediate,1390.2,171.9,0.5,0.725,9,0,14,M
P117,beginner,985.9,256.7,0.05,0.4606,6,-1,19,F
P118,intermediate,1455.2,130.2,0.4394,0.0777,5,1,65,F
P119,beginner,931.1,305.2,0.05,0.5201,46,3,59,M
P120,intermediate,1360.9,227.3,0.3566,0.5598,53,0,32,F
P121,beginner,921.5,244.4,0.05,0.6788,25,1,16,F
P122,advanced,1732.7,150.0,0.5521,0.4551,52,0,51,F
P123,advanced,1634.1,142.9,0.4263,0.3156,32,0,4,F
P124,advanced,2020.4,141.0,0.7107,0.657,7,0,0,M
P125,expert,2110.9,101.3,0.6751,0.4063,9,0,26,F
P126,beginner,967.4,277.5,0.0595,0.4001,6,0,19,F
P127,advanced,1500.5,177.4,0.4778,0.8704,28,0,25,F
P128,advanced,1696.1,144.8,0.5287,0.4683,10,1,0,M
P129,expert,1930.7,99.2,0.5499,0.6956,18,-2,23,M
P130,intermediate,1218.8,120.3,0.2845,0.5317,20,3,6,F
P131,beginner,1039.4,316.9,0.2625,0.4113,20,4,4,F
P132,intermediate,1315.7,203.2,0.3412,0.5299,44,-2,24,M
P133,beginner,1083.9,251.7,0.1149,0.3986,14,-2,6,M
P134,intermediate,1446.3,242.9,0.3572,0.4956,27,2,20,F
P135,advanced,1589.0,160.8,0.5377,0.5205,29,-5,64,M
P136,beginner,1075.3,273.4,0.0648,0.5669,22,0,38,F
P137,advanced,1565.0,165.1,0.5042,0.3358,9,-1,22,F
P138,intermediate,1695.1,237.6,0.4075,0.3018,26,1,6,M
P139,beginner,1149.4,242.9,0.3214,0.1549,6,1,24,F
P140,intermediate,1132.5,161.3,0.1715,0.1101,9,-1,33,M
P141,intermediate,1525.0,179.9,0.4676,0.3032,17,0,28,F
P142,intermediate,1256.3,229.0,0.2846,0.6252,43,-1,30,F
P143,intermediate,1285.2,169.0,0.2358,0.2809,19,5,56,M
P144,intermediate,1188.5,187.0,0.3299,0.4745,14,-1,17,M
P145,advanced,1800.3,136.0,0.4976,0.5619,9,0,14,M
P146,intermediate,1293.2,178.9,0.3458,0.176,32,-2,14,F
P147,beginner,942.9,316.5,0.05,0.6635,6,0,9,M
P148,advanced,1553.0,152.0,0.5119,0.1575,7,-3,45,M
P149,expert,2118.0,59.6,0.917,0.3639,18,0,37,F
P150,beginner,1068.3,237.1,0.05,0.3413,22,-2,22,F
P151,intermediate,1361.1,177.4,0.2867,0.4452,10,-1,15,F
P152,advanced,1766.5,176.5,0.5978,0.1073,14,3,225,M
P153,intermediate,1264.8,232.2,0.237,0.5289,70,-3,26,F
P154,intermediate,1367.7,188.3,0.3225,0.1725,5,0,36,F
P155,intermediate,1386.2,162.8,0.4006,0.2371,14,5,91,M
P156,intermediate,1383.6,211.8,0.3411,0.2579,13,0,17,M
P157,advanced,1869.8,120.0,0.6282,0.4506,8,-1,35,F
P158,intermediate,1045.5,234.9,0.1189,0.4607,30,3,1,M
P159,advanced,1554.2,167.6,0.4334,0.7507,18,3,45,F
P160,advanced,1528.8,169.0,0.5443,0.4958,7,-5,46,F
P161,intermediate,1008.5,181.3,0.123,0.4164,12,0,44,M
P162,expert,2088.0,76.6,0.8919,0.2018,17,-2,12,M
P163,intermediate,1363.8,228.0,0.2231,0.3351,44,1,28,F
P164,beginner,1157.9,275.8,0.2102,0.2583,16,0,69,F
P165,intermediate,1446.3,105.4,0.4582,0.5936,71,6,20,F
P166,intermediate,1183.0,202.6,0.1112,0.475,76,4,17,F
P167,beginner,1123.3,250.3,0.0965,0.2763,54,0,8,F
P168,beginner,801.9,283.3,0.05,0.4453,21,1,12,M
P169,intermediate,1322.9,188.8,0.2631,0.5628,143,-1,10,M
P170,intermediate,1252.1,209.3,0.3232,0.0726,11,0,94,M
P171,intermediate,1257.8,124.7,0.2286,0.5092,7,1,25,F
P172,intermediate,1324.8,196.5,0.3295,0.4736,35,0,3,M
P173,intermediate,1238.3,195.5,0.1234,0.272,10,2,70,F
P174,intermediate,1543.1,158.2,0.538,0.6595,61,-5,16,M
P175,intermediate,1246.0,236.1,0.3689,0.2315,30,-2,1,F
P176,intermediate,1285.5,180.3,0.2867,0.1622,8,5,8,M
P177,beginner,994.5,301.9,0.1221,0.3185,7,-5,77,M
P178,expert,2007.4,117.4,0.7279,0.5264,90,-4,9,F
P179,beginner,871.6,349.3,0.2233,0.4245,11,-3,90,F
P180,intermediate,1220.2,162.5,0.2818,0.8085,210,0,12,F
P181,beginner,1157.9,261.4,0.2152,0.8994,113,0,28,M
P182,advanced,1930.0,158.1,0.6788,0.5528,22,0,42,F
P183,intermediate,1408.6,168.3,0.3281,0.1528,11,3,80,F
P184,expert,2009.6,95.1,0.7439,0.2228,5,0,30,F
P185,advanced,1830.5,149.4,0.613,0.4413,12,3,8,M
P186,expert,1986.2,123.8,0.7824,0.4364,35,2,37,F
P187,intermediate,1527.4,199.1,0.3841,0.474,15,0,71,M
P188,expert,2033.8,52.7,0.7882,0.5196,6,0,7,M
P189,beginner,964.9,313.2,0.0875,0.7101,142,-4,18,M
P190,advanced,1856.4,59.4,0.675,0.4997,11,2,38,F
P191,intermediate,1433.9,213.7,0.3555,0.7014,39,-1,5,F
P192,beginner,1051.8,313.0,0.088,0.3022,32,3,77,M
P193,advanced,1613.7,161.7,0.5003,0.5272,31,1,24,F
P194,advanced,1593.9,152.7,0.512,0.3119,5,1,23,M
P195,intermediate,1331.3,180.7,0.2344,0.31,31,-1,36,M
P196,advanced,1762.7,170.1,0.516,0.0779,10,3,39,F
P197,beginner,885.8,266.9,0.1019,0.3052,9,-4,0,M
P198,intermediate,1179.9,110.3,0.2222,0.6311,109,6,7,F
P199,advanced,1728.1,163.2,0.5816,0.4179,5,2,19,M
P200,intermediate,1238.7,205.8,0.2782,0.3812,14,-1,7,M
P201,intermediate,1323.1,193.8,0.4598,0.3562,13,-1,4,F
P202,advanced,1622.3,116.7,0.5336,0.3242,9,1,11,M
P203,advanced,1669.2,140.4,0.5554,0.4986,33,0,1,M
P204,advanced,1984.4,93.2,0.6952,0.6213,62,0,77,F
P205,advanced,1706.2,160.0,0.5325,0.0992,6,-1,110,F
P206,advanced,1703.5,167.2,0.5579,0.1148,6,-3,54,F
P207,intermediate,1442.8,192.7,0.452,0.1036,5,-1,38,M
P208,intermediate,1230.6,211.9,0.2085,0.1682,16,3,130,F
P209,intermediate,1528.8,179.3,0.488,0.2333,34,2,4,F
P210,beginner,1075.7,272.4,0.05,0.4787,15,0,54,F
P211,advanced,1883.4,137.8,0.6483,0.1351,6,0,31,F
P212,advanced,1792.3,187.1,0.5345,0.3457,18,-1,1,M
P213,advanced,1483.3,129.7,0.4298,0.3303,26,3,61,M
P214,intermediate,1473.1,241.8,0.3422,0.2453,25,4,43,M
P215,intermediate,1092.0,170.9,0.2243,0.2855,9,-4,45,F
P216,beginner,1145.2,350.0,0.4645,0.5202,37,2,26,F
P217,advanced,1690.4,175.2,0.5071,0.4566,49,3,20,F
P218,intermediate,1490.6,161.8,0.4007,0.3884,40,0,7,F
P219,advanced,1759.1,165.0,0.6034,0.4925,9,0,11,M
P220,advanced,1880.3,135.6,0.6062,0.5682,13,3,37,F
P221,beginner,1282.2,265.2,0.3128,0.0723,8,3,42,M
P222,advanced,1587.1,133.9,0.3554,0.1029,19,4,69,M
P223,intermediate,1522.0,185.5,0.4721,0.3371,6,-3,113,M
P224,intermediate,1361.6,231.2,0.4338,0.1441,6,-5,19,F
P225,expert,2034.6,82.0,0.7858,0.3197,21,3,31,M
P226,beginner,1171.6,320.7,0.254,0.4323,31,-2,0,F
P227,beginner,1253.4,302.9,0.2784,0.624,122,-2,26,F
P228,intermediate,1328.9,184.7,0.202,0.4758,34,1,0,M
P229,beginner,1118.2,243.4,0.1323,0.4878,32,1,41,F
P230,intermediate,1417.9,216.9,0.2872,0.4105,14,0,21,M
P231,intermediate,1465.0,210.6,0.4733,0.1925,16,-4,50,F
P232,beginner,805.7,258.0,0.0724,0.3191,5,2,3,F
P233,intermediate,1347.5,156.0,0.4073,0.3734,25,0,34,M
P234,beginner,1069.8,236.6,0.1026,0.634,60,-2,46,F
P235,intermediate,1500.8,203.0,0.2605,0.4798,10,1,43,F
P236,intermediate,1477.0,272.0,0.3327,0.6236,13,0,3,M
P237,beginner,1259.4,251.6,0.1864,0.3899,10,0,7,M
P238,expert,1978.8,125.5,0.9039,0.3548,26,0,16,F
P239,intermediate,1155.4,164.5,0.229,0.1913,16,-1,108,M
P240,intermediate,1157.3,189.5,0.2193,0.8645,17,3,25,F
P241,intermediate,1369.8,238.4,0.3061,0.169,10,0,84,F
P242,beginner,966.2,313.9,0.05,0.2483,12,-3,17,M
P243,beginner,967.4,255.8,0.05,0.3684,9,0,0,F
P244,advanced,1974.3,128.0,0.7405,0.2858,28,-3,40,F
P245,intermediate,1358.6,184.5,0.3108,0.3729,21,2,25,F
P246,beginner,1087.3,350.0,0.1621,0.3138,8,2,23,M
P247,beginner,1031.2,243.7,0.266,0.3382,24,0,32,M
P248,beginner,1043.7,303.9,0.0764,0.7007,64,2,3,M
P249,intermediate,1463.9,164.7,0.2579,0.7198,19,2,94,F
P250,advanced,1662.0,164.1,0.4159,0.4285,10,0,3,M
P251,intermediate,1274.4,211.7,0.411,0.7693,60,4,0,F
P252,intermediate,1444.5,270.4,0.4847,0.2967,25,5,17,M
P253,intermediate,1276.2,212.9,0.1296,0.373,16,3,13,F
P254,beginner,1190.5,350.0,0.2444,0.3775,24,-3,35,M
P255,intermediate,1406.0,188.3,0.4062,0.515,88,-2,11,M
P256,intermediate,1809.3,213.5,0.6144,0.4541,5,-2,23,F
P257,advanced,1680.6,116.1,0.6002,0.6271,189,0,12,F
P258,beginner,1059.0,259.3,0.1461,0.4656,11,-5,2,M
P259,beginner,1022.3,277.5,0.1773,0.6382,13,-1,8,F
P260,beginner,980.4,303.8,0.0681,0.4553,6,-5,20,F
P261,beginner,1032.0,287.4,0.3604,0.6171,7,-5,33,M
P262,intermediate,1290.9,260.9,0.2811,0.5575,15,3,96,F
P263,intermediate,1370.5,198.3,0.2442,0.1968,9,0,18,M
P264,advanced,1837.1,142.7,0.6242,0.4675,11,-6,26,M
P265,intermediate,1479.6,179.4,0.3577,0.347,50,0,4,M
P266,advanced,1757.9,128.5,0.5802,0.5526,35,-2,44,M
P267,beginner,968.8,301.4,0.2038,0.2179,6,2,1,M
P268,beginner,1046.7,291.7,0.1392,0.2049,11,5,354,F
P269,intermediate,1139.8,186.5,0.243,0.341,5,10,25,M
P270,advanced,1498.1,141.0,0.4562,0.2708,11,-3,52,M
P271,advanced,1798.0,116.5,0.6832,0.3911,10,3,12,M
P272,expert,2110.6,104.9,0.8748,0.0845,14,-1,101,M
P273,beginner,1169.0,321.5,0.1435,0.3892,40,-1,78,M
P274,intermediate,1185.7,210.4,0.2366,0.5001,39,-4,32,F
P275,advanced,1773.6,171.0,0.6593,0.1178,19,0,24,F
P276,beginner,989.7,260.3,0.0517,0.0642,6,-1,57,M
P277,intermediate,1168.6,191.7,0.2402,0.1127,20,-2,113,F
P278,intermediate,1317.5,230.1,0.3608,0.665,136,7,4,M
P279,intermediate,1413.5,272.8,0.2439,0.8069,7,-2,18,M
P280,beginner,880.0,306.1,0.05,0.5731,17,3,34,M
P281,beginner,1041.8,245.9,0.2498,0.2354,10,-1,25,M
P282,advanced,1743.7,208.7,0.5877,0.2382,14,-2,51,M
P283,intermediate,1390.0,168.3,0.3831,0.3722,38,-6,49,F
P284,intermediate,1280.2,189.9,0.2146,0.1229,6,0,10,F
P285,beginner,906.0,268.3,0.0785,0.3344,9,0,70,F
P286,advanced,1878.2,192.9,0.791,0.3885,38,5,4,F
P287,intermediate,1315.2,240.8,0.3806,0.3532,11,3,26,M
P288,beginner,1230.9,252.3,0.374,0.1857,7,1,227,M
P289,intermediate,1542.4,238.1,0.4995,0.1427,6,-5,10,M
P290,advanced,1590.7,143.3,0.4036,0.3773,15,-1,1,M
P291,intermediate,1296.2,197.1,0.2955,0.4035,15,0,101,F
P292,beginner,927.7,317.4,0.0604,0.5354,48,-1,5,M
P293,advanced,1441.9,131.7,0.4554,0.8263,25,-1,11,M
P294,intermediate,1441.3,225.0,0.387,0.5503,6,-5,0,M
P295,intermediate,1428.8,160.2,0.4349,0.4883,11,-2,26,F
P296,intermediate,1293.7,241.4,0.3471,0.4443,113,2,4,F
P297,expert,2122.6,127.9,0.9109,0.1902,10,-1,19,F
P298,advanced,1820.6,166.3,0.7555,0.5984,13,-2,40,M
P299,beginner,995.6,315.8,0.1944,0.5488,13,5,31,M
P300,intermediate,1442.8,153.9,0.3371,0.4666,6,-2,32,M
P301,intermediate,1318.6,218.7,0.2988,0.5628,10,5,7,F
P302,expert,2244.7,148.8,0.8411,0.6856,22,3,2,F
P303,beginner,1278.2,289.8,0.3078,0.3609,5,0,9,M
P304,intermediate,1531.9,260.7,0.5506,0.2609,28,-1,97,F
P305,beginner,1234.2,253.7,0.2412,0.5886,5,4,15,F
P306,expert,2123.0,169.1,0.8348,0.4866,7,4,9,M
P307,beginner,1046.2,291.0,0.2394,0.2507,9,1,20,F
P308,intermediate,1231.2,186.0,0.1961,0.3025,36,3,24,F
P309,intermediate,1281.1,139.2,0.3843,0.4558,22,-2,2,M
P310,beginner,1191.7,350.0,0.2974,0.1596,7,-1,19,F
P311,advanced,1744.9,188.6,0.5264,0.8049,37,0,6,F
P312,beginner,1005.1,273.8,0.1895,0.7075,26,4,9,F
P313,beginner,1076.2,240.8,0.1656,0.4338,28,-6,159,M
P314,intermediate,1210.8,191.6,0.2397,0.66,7,5,30,F
P315,intermediate,1716.7,181.0,0.4292,0.6644,49,-2,4,M
P316,intermediate,1499.4,208.9,0.2894,0.6717,85,0,9,M
P317,beginner,1023.4,234.0,0.0791,0.3466,6,4,20,F
P318,advanced,1608.1,177.0,0.5498,0.1926,31,-7,53,M
P319,advanced,1623.3,175.3,0.5006,0.253,34,0,19,M
P320,intermediate,1398.9,242.3,0.4656,0.2318,15,3,22,F
P321,intermediate,1148.4,217.7,0.306,0.6588,29,-1,4,F
P322,beginner,904.0,271.6,0.05,0.2997,14,-1,16,F
P323,beginner,962.7,280.4,0.1118,0.2323,5,3,4,M
P324,beginner,1302.4,303.9,0.275,0.5407,24,0,6,M
P325,expert,2088.3,103.3,0.7785,0.1178,8,4,34,M
P326,intermediate,1366.6,217.8,0.2808,0.6243,54,0,21,F
P327,intermediate,1215.4,154.1,0.2998,0.3945,80,-4,5,F
P328,intermediate,1266.9,256.0,0.3879,0.5679,27,1,10,F
P329,expert,2097.8,79.3,0.731,0.4209,18,-3,14,M
P330,intermediate,1173.0,209.2,0.4387,0.1039,7,-2,104,F
P331,beginner,1123.8,350.0,0.2549,0.7075,24,0,15,F
P332,beginner,1049.8,270.9,0.2356,0.1624,10,0,5,F
P333,intermediate,1436.9,112.1,0.395,0.3615,21,3,50,M
P334,intermediate,1371.7,228.9,0.3115,0.3525,20,-3,17,F
P335,beginner,871.3,283.8,0.05,0.0684,5,1,13,F
P336,intermediate,1635.5,226.4,0.5606,0.5854,6,3,5,F
P337,beginner,993.1,265.4,0.1207,0.4665,13,-2,13,M
P338,expert,2117.2,104.7,0.9036,0.4026,31,0,23,M
P339,intermediate,1246.9,137.7,0.3825,0.7694,63,-1,38,M
P340,advanced,1503.9,115.3,0.4381,0.3653,43,-3,10,F
P341,advanced,1626.6,162.7,0.5431,0.4094,19,-6,3,M
P342,advanced,1683.2,160.2,0.6483,0.5414,8,1,26,F
P343,intermediate,1433.0,187.1,0.3793,0.8111,37,-1,3,F
P344,intermediate,1221.0,280.3,0.2934,0.298,36,3,45,M
P345,intermediate,1360.9,206.6,0.2397,0.5439,18,0,3,M
P346,intermediate,1340.9,207.8,0.2286,0.0992,8,0,10,F
P347,beginner,1075.8,257.5,0.05,0.7415,43,1,9,M
P348,beginner,1060.1,346.0,0.2343,0.5411,11,-4,0,F
P349,advanced,1646.9,128.6,0.571,0.4178,20,-3,26,F
P350,beginner,871.2,330.1,0.05,0.618,66,0,87,M
P351,expert,2230.5,79.7,0.95,0.4229,30,-4,45,M
P352,advanced,1632.8,126.5,0.4597,0.0705,12,0,32,M
P353,expert,2159.9,96.2,0.8238,0.3566,7,-2,2,F
P354,beginner,1088.4,287.2,0.2845,0.5539,5,4,58,F
P355,advanced,1708.9,145.1,0.585,0.3403,18,1,5,M
P356,intermediate,1219.8,222.9,0.3272,0.1671,8,-1,16,F
P357,expert,2038.6,90.4,0.7643,0.5087,41,3,9,F
P358,beginner,982.1,327.3,0.1523,0.4283,14,0,44,M
P359,beginner,919.9,255.4,0.05,0.767,22,-1,10,F
P360,beginner,1114.0,331.8,0.1077,0.3378,13,-1,77,M
P361,intermediate,1310.4,187.0,0.2607,0.2489,14,-1,99,M
P362,intermediate,1285.6,174.1,0.3989,0.5107,20,2,57,M
P363,intermediate,1225.1,197.8,0.3086,0.2699,12,1,71,M
P364,advanced,1720.8,167.1,0.6383,0.5837,37,0,12,F
P365,intermediate,1179.7,217.1,0.2611,0.5042,11,-2,79,F
P366,expert,1943.9,50.0,0.7197,0.6006,11,-4,0,M
P367,expert,2140.3,70.3,0.8522,0.4908,41,4,87,F
P368,intermediate,1264.3,206.9,0.3708,0.3684,12,-7,60,M
P369,advanced,1657.2,160.8,0.4391,0.1446,6,1,2,M
P370,intermediate,1411.6,230.8,0.4293,0.3622,5,2,39,M
P371,intermediate,1722.7,243.8,0.4847,0.3969,55,0,40,F
P372,beginner,1183.9,340.3,0.22,0.7068,62,-6,3,M
P373,intermediate,1236.0,267.6,0.308,0.3625,5,0,19,M
P374,advanced,1703.8,141.9,0.5564,0.6487,13,1,12,M
P375,beginner,964.2,255.6,0.2287,0.5562,6,0,38,M
P376,beginner,1191.3,271.5,0.2029,0.0413,5,-4,37,M
P377,intermediate,1382.6,188.6,0.3866,0.436,19,-4,37,M
P378,intermediate,1481.0,198.9,0.4998,0.5888,26,-1,2,M
P379,expert,2214.4,59.2,0.9028,0.4451,37,0,13,F
P380,intermediate,1387.5,228.3,0.3355,0.2233,8,0,8,F
P381,intermediate,1434.5,153.7,0.3891,0.3968,34,0,15,F
P382,beginner,1042.9,259.8,0.1582,0.2881,30,0,5,F
P383,advanced,1721.7,162.5,0.6208,0.2171,33,-3,10,F
P384,intermediate,1325.8,178.1,0.2502,0.1005,7,2,113,M
P385,advanced,1612.1,117.2,0.4605,0.4024,6,-1,9,M
P386,beginner,911.0,212.7,0.0789,0.2332,11,-3,50,M
P387,intermediate,1307.7,203.4,0.3297,0.2681,16,0,60,F
P388,intermediate,996.4,182.0,0.0615,0.2594,27,0,31,M
P389,expert,1826.6,102.8,0.7333,0.4112,36,0,17,M
P390,beginner,1105.2,273.0,0.0844,0.4255,7,-2,5,M
P391,beginner,1167.9,260.8,0.2587,0.8063,66,0,11,M
P392,intermediate,1490.5,238.4,0.3063,0.4494,12,-3,13,F
P393,beginner,954.7,286.0,0.0803,0.2737,9,-3,127,F
P394,intermediate,1477.0,205.1,0.3975,0.1955,57,-1,16,F
P395,intermediate,1173.6,188.3,0.4344,0.1868,48,1,46,M
P396,advanced,1648.5,116.1,0.4622,0.036,5,0,170,M
P397,beginner,844.0,281.3,0.05,0.3455,19,0,63,F
P398,intermediate,1236.4,191.7,0.0919,0.1547,9,0,21,F
P399,intermediate,1490.9,168.5,0.306,0.4976,14,0,86,M
P400,intermediate,1393.4,201.6,0.4332,0.2761,5,0,33,F
P401,beginner,1033.3,328.2,0.1104,0.1967,6,-4,16,M
P402,beginner,1248.0,251.3,0.2332,0.2288,9,2,13,F
P403,advanced,1713.2,153.2,0.6823,0.1814,9,-1,19,F
P404,advanced,1821.8,132.3,0.6014,0.0619,12,-3,14,F
